County Name,Total Population (2018),Total Population (2019),Total Population (2020),Hispanic Population (2018),Hispanic Population (2019),Hispanic Population (2020),White Population (2018),White Population (2019),White Population (2020),Black Population (2018),Black Population (2019),Black Population (2020),Asian Population (2018),Asian Population (2019),Asian Population (2020),Native American Population (2018),Native American Population (2019),Native American Population (2020),Pacific Islander Population (2018),Pacific Islander Population (2019),Pacific Islander Population (2020),Other Race Population (2018),Other Race Population (2019),Other Race Population (2020)
Mason County,"28,884","28,954","29,062","1,314","1,322","1,344","27,449","27,438","27,528",277,261,284,186,167,181,221,285,237,0,0,0,120,196,228
Mecosta County,"43,264","43,251","43,481",958,992,"1,059","40,305","40,183","40,078","1,250","1,296","1,325",332,370,421,166,278,298,7,9,0,129,132,184
Menominee County,"23,234","23,074","22,902",404,419,437,"21,933","21,756","21,551",65,73,127,93,94,93,540,531,455,0,0,0,29,23,64
Midland County,"83,389","83,355","83,445","2,212","2,289","2,412","77,905","77,659","77,431","1,168","1,167","1,280","1,907","1,916","1,810",380,358,395,63,59,37,391,542,496
Missaukee County,"15,006","15,028","15,075",426,437,462,"14,440","14,463","14,421",68,95,69,24,29,25,95,75,44,0,0,0,77,65,108
Monroe County,"149,699","149,727","150,000","5,261","5,359","5,527","141,260","141,090","140,412","3,553","3,568","3,620",930,864,777,449,372,431,10,11,2,762,656,872
Montcalm County,"63,209","63,413","63,516","2,197","2,222","2,265","59,734","60,014","59,465","1,390","1,387","1,409",253,224,177,316,332,391,41,58,12,314,233,272
Montmorency County,"9,261","9,265","9,270",118,122,129,"8,958","8,951","8,938",32,22,25,7,14,7,82,109,83,1,3,1,15,17,13
Muskegon County,"173,043","173,297","173,679","9,655","9,809","10,095","139,770","140,103","139,148","23,717","23,499","23,007",964,955,"1,255","1,312","1,416","1,261",21,26,26,872,947,"1,043"
Newaygo County,"48,142","48,366","48,687","2,792","2,803","2,852","44,687","44,979","44,908",657,595,538,160,186,208,417,412,319,0,0,0,"1,391","1,314","1,405"
Oakland County,"1,250,843","1,253,185","1,255,340","50,057","51,653","53,779","941,026","940,365","926,699","171,098","170,488","166,988","90,212","93,551","96,751","3,302","3,413","2,863",323,307,313,"9,911","9,724","13,258"
Oceana County,"26,417","26,416","26,545","3,913","3,934","3,993","24,991","24,986","24,694",287,293,267,64,63,38,288,255,269,1,5,8,383,347,395
Ogemaw County,"20,928","20,898","20,895",443,449,468,"20,208","20,169","20,050",77,68,74,131,136,154,226,221,158,0,0,0,43,34,28
Ontonagon County,"5,968","5,877","5,802",87,89,91,"5,732","5,640","5,568",33,29,26,15,25,28,52,48,38,8,6,3,9,8,6
Osceola County,"23,232","23,290","23,323",418,454,475,"22,347","22,388","22,383",256,261,276,70,64,92,195,170,174,0,0,0,25,32,41
Oscoda County,"8,277","8,248","8,282",126,135,141,"8,018","7,981","7,951",53,44,57,4,12,12,52,55,56,4,4,0,18,16,26
Otsego County,"24,397","24,490","24,613",412,423,442,"23,330","23,442","23,476",133,163,194,106,139,145,104,79,63,0,3,2,22,37,48
Ottawa County,"284,034","286,558","289,162","27,450","28,112","28,787","253,873","256,755","257,345","4,237","4,425","4,366","7,574","7,747","7,353",868,907,"1,103",57,67,56,"9,741","8,670","7,172"
Presque Isle County,"12,797","12,714","12,687",168,177,189,"12,353","12,276","12,237",71,75,61,60,72,70,42,60,45,0,0,0,50,36,43
Roscommon County,"23,877","23,851","23,863",424,449,474,"23,074","23,020","22,932",36,39,74,75,69,66,219,174,97,0,0,0,28,31,19
Saginaw County,"192,778","191,821","191,166","16,151","16,218","16,680","144,402","144,268","141,928","35,973","35,664","36,004","2,451","2,284","2,259",577,642,640,12,17,20,"3,221","2,767","2,318"
St. Clair County,"159,566","159,247","159,285","5,281","5,373","5,531","149,216","148,933","148,453","3,393","3,554","3,767","1,082","1,026",800,275,284,261,38,57,52,937,905,"1,021"
St. Joseph County,"60,897","60,836","60,789","4,710","4,822","4,915","55,466","55,964","55,464","1,338","1,353","1,176",304,305,325,213,182,68,30,36,21,"1,617","1,050",862
Sanilac County,"41,376","41,295","41,179","1,519","1,522","1,584","40,015","39,896","39,620",242,222,217,140,113,114,136,134,81,3,2,4,281,322,263
Schoolcraft County,"8,069","8,048","8,031",81,89,94,"6,996","6,958","6,924",41,36,39,31,30,35,557,565,470,0,0,0,5,9,15
Shiawassee County,"68,493","68,340","68,176","1,995","2,011","2,001","66,193","65,997","65,363",396,467,515,196,200,178,174,194,155,18,19,23,159,168,282
Tuscola County,"53,250","52,939","52,683","1,779","1,808","1,864","51,297","50,849","50,342",629,531,536,181,181,231,166,167,157,4,3,3,110,138,158
Van Buren County,"75,272","75,358","75,416","8,586","8,685","8,753","64,678","64,935","64,514","2,496","2,520","2,810",512,534,577,762,770,601,33,23,29,"3,432","3,401","3,174"
Washtenaw County,"365,961","367,000","368,385","16,999","17,329","17,906","269,777","269,998","267,847","43,099","43,795","43,580","33,165","33,476","33,744","1,202","1,541","1,296",189,164,133,"2,635","2,787","3,507"
Wayne County,"1,761,382","1,757,299","1,753,059","103,202","104,419","106,070","937,396","933,616","917,413","685,098","680,932","671,837","57,380","58,915","59,977","5,566","5,767","5,936",481,445,426,"33,543","34,182","39,653"
Wexford County,"33,111","33,256","33,433",631,653,688,"31,773","31,836","31,720",237,245,287,194,180,164,151,153,117,8,28,31,40,47,62
